Snapshot Number,Redshift,Stellar Mass [Msun],Star Formation Rate [Msun/yr],GalaxyID,GALEX_FUV,GALEX_NUV,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z,TwoMASS_J,TwoMASS_H,TwoMASS_Ks,UKIDSS_Z,UKIDSS_Y,UKIDSS_J,UKIDSS_H,UKIDSS_K,Johnson_U,Johnson_B,Johnson_V,Johnson_R,Johnson_I,Johnson_J,Johnson_M,WISE_W1,WISE_W2,WISE_W3,WISE_W4,IRAS_12,IRAS_25,IRAS_60,IRAS_100,IRAC_I1,IRAC_I2,IRAC_I3,IRAC_I4,MIPS_24,MIPS_70,MIPS_160,PACS_70,PACS_100,PACS_160,SPIRE_250,SPIRE_350,SPIRE_500,SCUBA2_450,SCUBA2_850,GALEX_FUV_f,GALEX_NUV_f,SDSS_u_f,SDSS_g_f,SDSS_r_f,SDSS_i_f,SDSS_z_f,TwoMASS_J_f,TwoMASS_H_f,TwoMASS_Ks_f,UKIDSS_Z_f,UKIDSS_Y_f,UKIDSS_J_f,UKIDSS_H_f,UKIDSS_K_f,Johnson_U_f,Johnson_B_f,Johnson_V_f,Johnson_R_f,Johnson_I_f,Johnson_J_f,GALEX_FUV_e,GALEX_NUV_e,SDSS_u_e,SDSS_g_e,SDSS_r_e,SDSS_i_e,SDSS_z_e,TwoMASS_J_e,TwoMASS_H_e,TwoMASS_Ks_e,UKIDSS_Z_e,UKIDSS_Y_e,UKIDSS_J_e,UKIDSS_H_e,UKIDSS_K_e,Johnson_U_e,Johnson_B_e,Johnson_V_e,Johnson_R_e,Johnson_I_e,Johnson_J_e,ALMA_6,ALMA_7,ALMA_8,ALMA_9,ALMA_10
28,2.220446E-16,1.64159263E10,1.3785474,9961050,-17.947649,-18.04056,-18.911823,-19.968754,-20.508286,-20.733095,-21.004725,-21.299192,-21.529839,-21.353321,-20.986605,-21.202698,-21.305141,-21.520636,-21.317394,-18.85982,-19.771124,-20.243036,-20.630043,-20.960485,-21.292269,-20.427816,-20.80788,-20.449331,-21.330294,-22.4461,-21.253504,-22.373844,-24.23576,-25.367714,-20.775002,-20.482168,-20.77908,-21.497728,-22.471905,-24.684343,-25.724215,-24.645355,-25.37903,-25.660793,-25.212318,-24.535088,-23.582565,-23.890787,-21.859962,-18.286108,-18.380962,-19.136694,-20.141464,-20.661308,-20.863781,-21.122068,-21.385254,-21.58614,-21.39058,-21.104904,-21.3068,-21.390356,-21.577745,-21.35371,-19.0864,-19.950607,-20.399796,-20.771542,-21.079103,-21.378202,-17.286015,-17.38338,-18.491098,-19.646383,-20.254349,-20.528244,-20.837149,-21.189753,-21.461578,-21.310606,-20.815866,-21.062138,-21.197495,-21.451488,-21.275928,-18.436049,-19.430672,-19.965342,-20.404207,-20.788288,-21.182499,-20.878195,-21.597128,-22.62026,-23.856493,-24.53961
28,2.220446E-16,1.00307579E10,0.35030273,9981020,-16.44723,-16.59191,-17.823256,-19.085442,-19.703112,-19.978582,-20.262754,-20.547346,-20.763437,-20.549429,-20.24429,-20.462439,-20.552322,-20.754747,-20.509933,-17.76559,-18.849533,-19.43276,-19.851513,-20.215975,-20.541384,-19.416088,-19.923662,-19.483057,-19.91686,-20.979616,-19.853233,-20.896214,-22.990591,-24.07417,-19.880423,-19.525497,-19.605404,-20.12792,-20.998304,-23.466125,-24.231758,-23.431755,-24.08837,-24.174555,-23.5393,-22.769112,-21.753239,-22.073446,-19.97637,-16.720945,-16.86041,-17.959972,-19.17948,-19.777615,-20.034594,-20.309544,-20.575766,-20.780537,-20.559513,-20.291985,-20.501482,-20.5805,-20.772188,-20.51979,-17.904165,-18.949858,-19.512192,-19.915642,-20.263615,-20.570316,-16.197811,-16.336456,-17.615704,-18.896221,-19.542652,-19.842052,-20.146837,-20.465322,-20.712124,-20.516624,-20.12728,-20.360237,-20.471554,-20.70266,-20.47821,-17.557714,-18.65495,-19.26148,-19.704996,-20.097073,-20.459623,-18.978926,-19.709583,-20.753416,-22.0375,-22.771027
28,2.220446E-16,1.39827487E10,0.22915168,1740036,-15.198825,-15.623712,-17.718391,-19.21325,-19.921652,-20.236273,-20.548292,-20.877941,-21.112316,-20.907822,-20.527283,-20.778572,-20.884394,-21.102356,-20.86833,-17.654457,-18.93869,-19.633986,-20.091679,-20.499504,-20.868828,-19.729164,-20.265423,-19.81572,-19.897734,-20.932648,-19.835135,-20.855352,-22.964426,-24.203485,-20.228155,-19.861149,-19.818909,-20.14698,-20.954876,-23.484188,-24.43743,-23.442081,-24.216208,-24.383743,-23.745775,-22.945997,-21.891325,-22.221249,-20.056168,-15.202097,-15.626674,-17.720922,-19.215464,-19.923368,-20.237951,-20.550354,-20.879465,-21.113468,-20.9087,-20.529573,-20.780119,-20.885904,-21.10353,-20.869177,-17.657013,-18.94106,-19.63588,-20.093359,-20.501528,-20.870375,-14.939388,-15.42189,-17.65384,-19.164637,-19.881578,-20.201883,-20.51457,-20.850666,-21.092113,-20.893042,-20.492313,-20.746922,-20.85717,-21.082058,-20.853767,-17.589123,-18.886917,-19.59229,-20.054659,-20.46627,-20.841682,-19.055637,-19.784964,-20.856956,-22.184095,-22.947533
28,2.220446E-16,1.63132047E10,0.8815767,10474322,-16.674528,-16.799175,-18.081709,-19.353079,-20.028538,-20.343998,-20.6876,-21.09281,-21.39056,-21.252522,-20.663948,-20.94779,-21.10225,-21.379057,-21.218647,-18.02487,-19.117853,-19.721966,-20.202276,-20.634235,-21.08449,-20.335445,-20.720695,-20.369066,-21.073765,-22.206665,-20.98846,-22.136599,-24.17536,-25.292253,-20.69367,-20.402569,-20.627838,-21.252111,-22.234596,-24.645248,-25.547209,-24.608799,-25.304699,-25.487736,-24.951977,-24.239706,-23.2682,-23.58003,-21.532639,-17.550426,-17.709764,-18.720564,-19.889898,-20.473053,-20.717247,-21.002718,-21.309044,-21.529547,-21.342125,-20.983364,-21.218925,-21.31569,-21.52004,-21.30594,-18.667593,-19.67516,-20.203089,-20.604876,-20.956219,-21.300898,-16.656256,-16.828707,-18.144014,-19.416332,-20.065811,-20.36856,-20.698069,-21.087914,-21.38122,-21.244057,-20.675436,-20.947437,-21.096865,-21.369934,-21.210178,-18.08721,-19.18435,-19.773552,-20.231314,-20.646126,-21.07916,-20.560385,-21.269312,-22.296211,-23.545238,-24.24303
28,2.220446E-16,1.2004222E10,0.81055975,2293313,-17.098484,-17.295403,-18.498972,-19.671467,-20.236008,-20.465729,-20.741821,-21.025635,-21.239336,-21.05663,-20.724218,-20.940437,-21.031403,-21.230162,-21.021349,-18.444569,-19.461678,-19.972353,-20.360144,-20.696108,-21.019114,-20.136265,-20.504013,-20.15704,-21.014599,-22.111164,-20.950148,-22.01863,-23.910826,-25.137348,-20.473658,-20.187775,-20.482494,-21.19786,-22.12539,-24.401852,-25.473923,-24.359034,-25.14851,-25.414053,-24.89374,-24.16407,-23.16554,-23.483309,-21.39325,-17.103909,-17.300598,-18.499693,-19.67113,-20.235184,-20.464577,-20.740738,-21.024872,-21.238811,-21.05629,-20.723137,-20.93957,-21.030647,-21.229631,-21.021008,-18.445316,-19.461601,-19.971643,-20.359097,-20.695034,-21.018368,-16.08703,-16.336088,-17.833323,-19.14462,-19.789137,-20.08899,-20.41572,-20.793642,-21.086275,-20.957087,-20.394268,-20.650541,-20.80215,-21.075169,-20.924772,-17.775118,-18.91003,-19.502886,-19.952961,-20.363428,-20.786682,-20.400505,-21.126568,-22.171402,-23.447874,-24.167564
28,2.220446E-16,1.00708782E10,0.768607,2334225,-17.225832,-17.39619,-18.45939,-19.600836,-20.142687,-20.37667,-20.645452,-20.932383,-21.146523,-20.962175,-20.627604,-20.845469,-20.937292,-21.137188,-20.926523,-18.40668,-19.397165,-19.888964,-20.268267,-20.600702,-20.92671,-20.020233,-20.405842,-20.045948,-20.84367,-21.923838,-20.783289,-21.822985,-23.749596,-24.981583,-20.37268,-20.077873,-20.348387,-21.040344,-21.933662,-24.250679,-25.298859,-24.2081,-24.99309,-25.240908,-24.711214,-23.980568,-22.98337,-23.300907,-21.214483,-17.291718,-17.456266,-18.489061,-19.6185,-20.156612,-20.386831,-20.65589,-20.937584,-21.149836,-20.964146,-20.63816,-20.853054,-20.942455,-21.14058,-20.928371,-18.436852,-19.41671,-19.9033,-20.279913,-20.61087,-20.931961,-16.557318,-16.724514,-17.984097,-19.206982,-19.816563,-20.099056,-20.409573,-20.769333,-21.043211,-20.89709,-20.387917,-20.641376,-20.776644,-21.032486,-20.863218,-17.928852,-18.986206,-19.536255,-19.970589,-20.35954,-20.763552,-20.225365,-20.947947,-21.99118,-23.265514,-23.984072
28,2.220446E-16,3.07644662E10,1.8329428,8395233,-17.388096,-17.49078,-18.663786,-19.90077,-20.57861,-20.883707,-21.234295,-21.642603,-21.94638,-21.807753,-21.209648,-21.496374,-21.651848,-21.934193,-21.772417,-18.608381,-19.663282,-20.266468,-20.746828,-21.180649,-21.634653,-20.931002,-21.290033,-20.950857,-21.774326,-22.891068,-21.696686,-22.811142,-24.664942,-25.862175,-21.267231,-20.982204,-21.276096,-21.965147,-22.913704,-25.134356,-26.223856,-25.092237,-25.872995,-26.158201,-25.66037,-24.941116,-23.953196,-24.268442,-22.196608,-18.359522,-18.464737,-19.363,-20.450878,-21.037888,-21.274292,-21.569925,-21.878956,-22.100498,-21.908463,-21.549809,-21.79167,-21.885012,-22.090395,-21.870577,-19.3122,-20.24045,-20.755367,-21.166954,-21.522972,-21.871817,-17.422642,-17.529284,-18.638037,-19.838512,-20.49417,-20.793417,-21.145147,-21.56265,-21.884684,-21.767107,-21.120638,-21.408773,-21.571932,-21.872046,-21.732721,-18.58389,-19.606443,-20.19038,-20.658844,-21.0911,-21.555515,-21.194267,-21.931095,-22.967596,-24.233448,-24.944721
28,2.220446E-16,1.11307121E10,1.4843352,10390333,-17.965744,-18.00413,-18.723324,-19.653711,-20.131033,-20.3212,-20.586227,-20.869827,-21.10351,-20.942755,-20.569618,-20.769354,-20.8766,-21.094124,-20.909472,-18.672438,-19.473131,-19.874645,-20.236555,-20.541235,-20.86352,-20.20256,-20.47233,-20.180065,-21.371002,-22.518385,-21.281193,-22.441177,-24.41231,-25.453083,-20.450167,-20.20329,-20.698057,-21.533125,-22.542564,-24.855925,-25.6249,-24.822144,-25.467388,-25.564962,-24.93314,-24.149673,-23.116991,-23.440218,-21.322731,-17.933155,-17.9892,-18.815722,-19.784504,-20.269878,-20.454298,-20.712255,-20.971321,-21.176046,-20.993961,-20.696426,-20.887732,-20.977245,-21.167406,-20.959623,-18.764387,-19.60213,-20.012356,-20.372013,-20.667873,-20.964554,-18.089762,-18.138506,-18.846209,-19.771877,-20.239265,-20.419292,-20.675295,-20.939594,-21.154312,-20.978895,-20.659294,-20.851667,-20.945835,-21.145433,-20.94506,-18.795507,-19.594345,-19.986546,-20.33902,-20.631428,-20.933336,-20.296358,-21.054583,-22.106329,-23.404137,-24.151628
28,2.220446E-16,1.08250204E10,0.8566417,10392877,-18.008593,-18.100222,-18.823702,-19.791166,-20.273788,-20.458786,-20.703064,-20.940989,-21.130007,-20.923841,-20.687729,-20.87461,-20.945751,-21.122568,-20.887184,-18.774654,-19.61067,-20.026733,-20.374125,-20.660501,-20.935911,-19.89345,-20.332792,-19.931004,-20.738785,-21.825623,-20.673063,-21.760563,-23.419916,-24.508532,-20.292778,-19.969576,-20.208902,-20.915775,-21.854712,-23.814365,-25.012264,-23.77531,-24.517548,-24.93586,-24.61817,-24.003563,-23.095482,-23.395792,-21.418339,-18.144493,-18.233728,-18.896576,-19.840927,-20.313925,-20.491047,-20.729624,-20.958158,-21.14053,-20.930202,-20.714376,-20.897327,-20.962679,-21.13325,-20.893381,-18.848295,-19.663677,-20.06879,-20.41012,-20.688086,-20.953339,-17.505161,-17.569613,-18.4551,-19.48426,-20.0304,-20.256788,-20.537962,-20.834154,-21.064909,-20.88403,-20.519478,-20.735659,-20.8406,-21.05654,-20.84864,-18.404076,-19.290005,-19.757582,-20.154774,-20.49085,-20.82879,-20.437263,-21.158775,-22.1627,-23.362196,-24.009436
28,2.220446E-16,1.97003551E10,1.2460167,9840059,-17.884224,-17.964886,-18.836456,-19.922836,-20.497797,-20.742958,-21.037966,-21.368965,-21.616196,-21.445473,-21.016787,-21.263716,-21.376095,-21.606106,-21.410133,-18.784578,-19.717476,-20.219751,-20.631834,-20.990849,-21.362041,-20.51047,-20.894718,-20.541216,-21.310307,-22.404211,-21.238688,-22.325026,-24.279366,-25.472807,-20.867077,-20.574184,-20.818626,-21.488443,-22.42627,-24.763275,-25.793612,-24.722187,-25.484642,-25.731802,-25.223246,-24.511574,-23.532684,-23.845922,-21.788168,-18.136765,-18.233309,-19.023375,-20.076492,-20.629145,-20.8574,-21.136778,-21.44008,-21.661615,-21.475729,-21.116802,-21.351088,-21.44597,-21.652176,-21.439682,-18.972855,-19.875927,-20.360817,-20.752949,-21.092192,-21.433517,-17.271542,-17.329256,-18.323936,-19.474167,-20.12064,-20.420729,-20.764088,-21.178982,-21.488384,-21.361311,-20.73961,-21.023844,-21.187569,-21.476831,-21.328012,-18.270498,-19.25377,-19.814592,-20.286467,-20.711344,-21.172253,-20.79924,-21.52364,-22.555365,-23.810879,-24.515472
